InventoryID,DateKey,ProductKey,WarehouseKey,OpeningStock,ClosingStock,StockIn,StockOut,InventoryValue
1,1049,294,5,4937,174,1144,237,3713667.32
2,631,41,23,1390,1022,153,1768,2840247.82
3,522,95,22,639,4321,6,216,3031405.75
4,128,94,30,3163,3245,1154,1520,3111496.54
5,1049,143,38,2867,1656,582,754,4459894.21
6,616,267,34,2012,4328,251,1139,4686434.67
7,972,61,4,4560,2064,402,1812,4165427.68
8,331,213,10,2063,1075,911,262,1977619.91
9,751,71,25,1548,4180,1159,1553,837219.94
10,548,11,43,1546,3414,1701,1223,3580628.39
11,286,286,10,2203,612,635,1977,4661711.75
12,596,226,34,1291,2776,1328,1603,640434.38
13,833,43,40,324,136,1549,1838,2024531.97
14,568,172,17,4659,3769,54,1799,1104586.55
15,306,288,29,774,736,983,115,4273845.35
16,1033,18,26,3021,2827,1676,342,1468546.97
17,531,159,1,2637,241,1392,1272,3602441.82
18,342,27,37,2599,1000,1613,644,485349.12
19,824,232,8,185,2268,113,1718,4757983.88
20,771,139,25,833,99,1154,1929,4402785.62
21,127,182,8,3149,460,148,1932,3514007.13
22,830,200,14,1989,1617,695,634,2005307.83
23,98,118,46,1930,4962,1655,1441,1238992.32
24,20,33,15,3033,183,1778,805,671116.35
25,115,217,19,3270,446,1314,1361,2917941.62
26,985,162,41,2657,4831,1398,140,807257.87
27,460,23,31,4449,4874,809,1020,1299580.94
28,259,221,47,2064,104,411,461,1628252.38
29,873,279,12,515,4293,333,931,2333158.3
30,773,99,20,2987,984,1146,258,3863924.4
31,286,65,21,4013,3525,226,528,3290130.38
32,74,87,13,4037,3363,1864,387,813775.57
33,865,100,40,672,4098,1268,1485,2320236.49
34,273,204,31,4108,2117,1331,502,4774087.88
35,668,82,8,3844,4719,899,1090,3311965.14
36,394,49,48,1232,3277,240,1893,4576202.59
37,922,290,17,1869,1352,1128,175,2718383.78
38,151,88,26,2774,3667,261,496,1264804.31
39,1005,211,46,1956,3572,1554,642,2093619.0
40,635,2,11,3501,4735,1328,251,4815477.78
41,670,180,42,4001,4416,1950,1545,4379408.69
42,890,97,8,4159,3175,1662,443,2422627.38
43,147,120,47,4064,3656,281,1726,3269015.87
44,994,134,4,895,3456,1765,304,42111.42
45,366,170,31,1296,3596,251,1206,1355672.49
46,175,152,29,367,3751,799,1462,1391897.82
47,519,272,44,746,4329,1555,840,4809082.51
48,118,288,4,1254,1347,1683,997,2992492.84
49,254,194,33,4670,1815,734,818,3243525.7
50,1065,123,15,2172,1678,573,230,304944.6
51,48,29,23,1154,540,1759,68,3918238.83
52,43,97,7,3847,4335,1877,940,4431383.43
53,932,220,1,3072,1363,209,1963,3234805.19
54,115,150,5,4226,2442,1871,1533,2793243.21
55,599,83,46,1539,1163,1793,1792,2308760.9
56,223,260,23,3315,4544,1836,70,4808300.69
57,28,104,48,2414,2905,1817,4,2426098.45
58,224,201,7,2877,3183,154,989,3630509.5
59,858,18,42,3080,4180,1445,1024,778894.97
60,194,30,43,1458,697,1058,1376,256330.66
61,627,155,34,2965,1961,1824,150,2218814.36
62,1076,183,7,1508,3550,1043,947,3955647.41
63,715,243,42,2229,4154,1411,1323,4135663.43
64,997,78,5,4941,1550,570,729,4791035.65
65,860,153,14,4471,2452,1860,854,2801155.43
66,837,245,4,3581,3115,200,526,1700925.36
67,665,227,1,3845,3985,1788,58,4683803.58
68,115,109,50,595,2626,700,1029,2281177.2
69,581,187,6,2001,2421,1007,49,3300259.25
70,399,298,13,2106,2296,1041,1850,3181795.85
71,852,63,12,2304,2843,1929,876,2137833.65
72,394,295,40,4217,3092,179,1032,1252935.69
73,240,175,44,1418,1399,301,1000,4587763.56
74,1072,148,35,1728,3920,220,855,2781007.35
75,598,238,2,1696,3323,104,524,2089086.75
76,435,32,39,3131,2961,815,711,1239438.07
77,1095,249,40,2383,269,1320,172,4380616.02
78,293,207,32,3007,3871,507,363,1845002.33
79,372,103,3,732,3654,1990,403,2787724.48
80,728,241,6,2155,4758,1,446,4408264.01
81,597,39,5,2631,1667,1980,380,1214199.78
82,613,29,40,1891,3555,1632,96,3090635.76
83,514,200,7,3900,2664,1951,1407,516009.63
84,397,162,29,308,983,1857,1119,414580.89
85,22,195,40,4845,2860,185,665,2724724.02
86,1071,231,48,4886,412,1029,705,2499857.87
87,236,49,5,510,260,650,1969,1532460.65
88,40,153,9,1678,2906,655,554,336659.51
89,594,202,36,4038,4619,1805,1383,590001.98
90,982,144,32,2284,4824,919,5,2602988.19
91,588,13,7,1375,2662,146,240,32708.13
92,80,116,34,4704,1326,1133,1765,1169943.84
93,294,225,5,4199,381,498,1040,763232.03
94,523,197,21,4244,4256,1251,661,1064062.15
95,900,254,43,1647,1581,561,475,4409047.12
96,583,61,20,3514,681,330,1153,2106754.71
97,553,4,36,288,4509,1578,1004,2842475.93
98,344,226,1,4062,769,625,591,4624212.96
99,845,90,25,3288,3509,1129,1145,3100211.41
100,248,180,26,3969,1330,567,1815,1843865.78
101,145,87,43,2660,4823,146,1752,1346117.84
102,98,83,8,1810,301,682,1059,1926103.57
103,162,232,28,3336,978,1477,252,325263.58
104,404,91,46,4890,3856,996,1945,1582735.28
105,778,297,18,1396,512,360,899,2608049.9
106,350,40,13,1182,1810,1464,1740,2127755.87
107,131,292,43,2499,2423,1598,1919,3462717.1
108,686,52,37,3564,2995,362,1093,1404432.72
109,38,98,28,3214,3683,1514,869,461312.67
110,597,116,45,3900,3561,602,34,1220603.16
111,914,138,50,4879,3006,691,39,1183225.08
112,516,250,26,719,767,1003,1962,2265107.02
113,479,198,33,2203,3656,1859,797,1666325.4
114,261,149,4,1040,4725,1549,1970,2355294.71
115,877,190,12,1218,128,897,1599,2744552.57
116,701,77,8,101,3031,370,1389,3268764.66
117,169,138,7,151,3292,1654,1230,773715.26
118,280,206,33,2284,3360,438,1519,3109570.68
119,289,255,38,2154,4067,939,425,2009226.56
120,327,270,35,4277,2726,1499,426,2086552.31
121,812,140,41,1772,214,1107,246,2542774.76
122,94,27,19,2971,1569,780,914,3629277.97
123,194,144,20,2006,3859,471,1748,3323851.26
124,384,224,25,214,1505,863,801,3098644.29
125,239,126,23,1252,492,268,1803,2904406.52
126,732,132,10,4195,4507,222,1372,3346711.73
127,761,75,16,567,4312,857,962,2752536.29
128,95,158,31,1762,187,1226,850,3798006.02
129,782,51,38,122,3023,1584,349,624947.88
130,1009,282,5,3365,4978,1237,247,1223767.85
131,418,234,24,529,1681,854,1548,3634473.91
132,970,222,50,1725,2432,441,504,1683479.8
133,1061,273,36,548,4131,1113,1622,1137690.31
134,1053,93,8,1418,522,333,682,2758040.31
135,464,60,11,4559,3318,1558,1722,790684.84
136,523,29,30,2558,1935,1581,719,785790.21
137,561,217,29,3746,2221,1500,1151,346427.23
138,298,118,41,4287,2063,1140,1942,4377858.98
139,694,138,22,3037,1698,636,1160,2995914.92
140,874,150,30,3958,124,1721,1330,2271917.64
141,49,276,20,4813,754,1000,919,241431.66
142,751,269,14,2833,1022,24,1581,4813444.0
143,252,206,26,4258,2144,1985,1817,3980627.71
144,971,29,40,1710,1101,1193,91,1533599.64
145,164,121,2,2018,3032,1558,622,3978954.14
146,442,129,43,660,1538,1484,962,3791908.08
147,244,94,33,3811,2262,1993,1628,3356807.51
148,1033,229,5,3658,3477,1653,451,2778540.57
149,641,73,50,2388,2927,793,424,1844459.65
150,632,12,28,1831,291,999,1952,2601944.99
151,164,153,20,3036,14,276,365,2580311.2
152,905,189,6,2259,389,1351,1699,907063.6
153,218,4,21,4270,1915,1573,713,1474275.11
154,189,112,35,1738,2931,1870,517,288721.16
155,476,70,19,4079,73,1694,93,4973282.85
156,102,89,9,1973,3508,763,642,3767531.2
157,713,243,36,3140,3577,266,913,415994.25
158,910,73,9,3230,2830,1280,1110,4497265.73
159,307,256,16,2156,2845,1875,652,2067523.68
160,54,26,37,4953,3415,542,351,2350864.97
161,285,59,5,4479,2760,1574,888,1528920.37
162,517,8,12,1788,767,676,454,1182622.19
163,1037,147,23,658,3227,1124,454,3485465.1
