ShipmentID,DateKey,CustomerKey,ProductKey,VehicleKey,DriverKey,RouteKey,WarehouseKey,ShipmentStatus,QuantityUnits,ShipmentWeightKg,FreightCost,Revenue,DeliveryDelayDays
1,22,407,213,96,124,19,48,Delivered,436,4895.27,37917.09,32553.13,3
2,678,103,116,22,83,64,2,Delivered,127,4461.54,31967.9,20411.18,2
3,611,240,65,11,96,14,46,Delivered,93,3133.87,27663.28,31750.35,1
4,8,265,297,38,65,25,43,In Transit,434,2684.45,10408.75,29815.47,5
5,702,33,170,59,193,33,24,Delivered,314,1928.97,13951.81,19090.29,2
6,529,35,116,86,67,48,28,In Transit,168,2933.42,48229.29,9978.88,2
7,602,249,116,4,58,39,34,Delivered,457,3684.42,591.56,65118.05,5
8,657,488,221,103,40,84,3,Delivered,302,3544.35,22338.38,53522.55,3
9,166,50,50,67,175,5,26,In Transit,261,1505.05,1009.01,22408.6,5
10,849,280,79,118,100,21,22,Delivered,356,3360.2,17447.07,6214.86,3
11,496,472,20,10,171,59,32,Delivered,356,28.24,16589.35,57124.12,5
12,590,242,37,101,136,77,43,Delivered,357,853.35,6234.29,17591.65,3
13,429,152,259,19,103,14,36,Delivered,78,763.58,3936.77,52350.4,4
14,774,147,93,82,62,63,14,In Transit,152,3706.41,42681.65,34971.26,2
15,163,39,187,28,162,54,37,Delivered,210,4485.39,16547.44,25272.04,4
16,366,189,201,95,8,80,3,Delivered,308,436.28,28204.63,19374.51,1
17,72,25,288,17,25,45,28,Delivered,180,4559.6,37967.22,19131.7,5
18,655,244,48,24,154,50,26,Delayed,77,1536.54,27168.6,9066.47,4
19,269,223,253,1,182,41,40,Delivered,417,3115.27,22150.28,75290.88,0
20,415,230,46,5,169,92,10,Delivered,181,823.84,24712.4,26327.01,2
21,1016,153,231,32,80,1,44,Delayed,140,2016.96,41854.36,77664.75,2
22,675,411,95,53,72,2,26,Delivered,277,2312.45,26773.62,28650.58,5
23,1084,288,218,81,63,72,40,In Transit,232,1875.99,9606.33,79418.76,4
24,6,395,40,57,200,13,23,Delivered,287,4111.54,9697.32,39923.96,5
25,982,453,203,85,75,19,7,In Transit,32,2920.0,25320.79,5033.57,2
26,570,108,116,105,7,51,34,In Transit,495,2483.2,10486.55,29224.58,1
27,407,33,91,43,98,2,12,Delivered,53,3920.92,39660.69,67353.79,3
28,26,403,58,86,85,95,22,Delivered,233,3548.22,43751.13,15480.57,4
29,1029,363,10,103,69,10,11,Delayed,98,528.77,8483.72,41069.03,2
30,986,111,256,39,50,69,9,Delivered,269,2591.63,22228.65,68440.68,3
31,390,121,249,34,171,87,5,Delivered,285,3990.46,37632.19,70557.94,0
32,710,16,6,78,122,30,6,Delivered,222,3191.84,4641.8,24515.75,0
33,571,227,188,80,17,96,7,Delivered,350,3565.6,29916.6,1286.89,5
34,754,11,235,5,149,65,46,Delivered,137,2868.83,27731.56,39565.05,4
35,146,203,183,18,6,44,18,In Transit,198,4640.57,38967.63,63454.21,3
36,785,202,287,4,109,42,15,In Transit,47,2574.78,47660.92,18435.46,5
37,526,98,123,108,199,3,1,In Transit,247,2820.88,24596.71,13317.65,0
38,13,116,158,115,75,30,48,Delivered,132,4396.6,14453.81,32473.21,4
39,903,453,13,92,82,37,15,Delivered,107,3075.71,2858.64,24141.03,4
40,384,471,54,109,38,28,9,In Transit,79,2190.75,41135.08,20509.67,0
41,556,439,277,91,63,51,7,Delivered,331,1271.59,9280.36,67977.06,2
42,887,281,43,70,128,85,44,Delivered,119,4827.65,42756.46,12179.18,1
43,19,349,267,11,140,13,9,Delayed,31,3856.24,31003.89,6708.49,2
44,575,232,109,47,150,40,44,Delivered,62,418.49,8920.59,12002.49,1
45,751,461,166,85,3,26,11,Delivered,284,630.94,24208.38,40046.74,3
46,1004,111,106,81,147,30,3,Delivered,294,1030.77,31954.98,74782.08,5
47,419,352,51,31,171,24,13,Delivered,304,1188.63,30621.02,12532.25,0
48,419,418,204,98,87,38,5,In Transit,36,3227.17,1450.69,72792.14,4
49,122,12,43,13,195,69,32,Delivered,308,2667.29,29632.59,71034.49,5
50,432,472,283,23,121,16,22,Delivered,74,1182.87,45555.09,35327.33,2
51,44,488,85,65,133,55,50,Delivered,94,752.25,31753.53,75456.68,5
52,381,21,217,68,29,49,43,Delivered,362,3460.51,28637.66,34079.91,5
53,145,127,158,30,98,80,26,In Transit,143,267.59,37934.68,18206.11,3
54,363,285,127,31,108,52,3,Delivered,257,1100.12,26409.52,65330.06,5
55,1074,435,191,47,133,49,41,Delivered,460,1482.15,37256.72,43023.2,2
56,1089,121,266,16,173,64,8,Delivered,181,910.54,9100.18,43252.75,5
57,355,124,60,43,182,48,24,Delivered,244,2872.56,46048.99,47877.04,4
58,800,407,283,3,152,74,40,In Transit,350,3587.02,22031.36,2568.21,4
59,826,33,62,12,103,82,13,Delivered,116,2039.82,19438.57,8257.35,4
60,398,392,126,76,149,38,11,Delivered,69,837.28,37374.07,2561.97,3
61,880,170,172,11,32,17,38,In Transit,345,2009.98,29544.8,39465.03,5
62,463,77,63,16,133,41,45,Delivered,316,2332.1,12489.53,32754.77,3
63,808,453,260,29,190,54,43,Delivered,24,4399.37,13916.94,77195.2,3
64,187,297,16,117,146,40,14,Delivered,471,2660.25,32047.19,57594.27,0
65,732,330,179,21,35,31,46,In Transit,159,290.89,19839.54,59530.93,0
66,429,63,101,109,102,90,5,Delivered,301,4891.03,20880.22,23362.36,0
67,858,270,176,108,80,26,47,Delivered,411,947.79,33914.07,51766.24,1
68,237,216,193,106,99,76,13,Delivered,19,2644.22,31084.62,11273.51,0
69,771,190,273,58,88,18,24,Delivered,229,1710.15,8848.86,38822.79,2
70,758,75,261,43,133,98,16,Delivered,12,3492.34,44124.73,57798.09,2
71,136,174,175,114,9,35,29,Delivered,343,958.18,16751.55,66111.68,4
72,792,67,234,5,132,75,19,Delayed,306,2564.65,33666.38,63909.7,0
73,171,93,300,52,33,56,17,Delivered,82,2573.45,46208.99,11453.29,5
74,159,53,216,13,91,30,31,Delayed,396,3257.01,22271.92,30698.7,0
75,201,496,247,81,150,45,48,Delivered,21,2912.28,24832.66,27661.25,4
76,962,436,21,12,187,75,29,In Transit,313,634.02,33915.6,43481.11,1
77,583,94,243,81,11,52,32,Delivered,122,3472.76,16769.44,27371.85,2
78,876,113,288,1,69,68,46,Delivered,19,2317.96,17991.65,38061.89,0
79,371,229,280,8,138,55,17,Delivered,17,941.51,29773.93,25423.19,3
80,103,250,244,16,131,100,7,Delivered,443,2003.55,16047.7,21975.21,4
81,1002,391,163,15,143,10,38,Delayed,423,1849.83,15998.54,13977.32,2
82,976,209,146,19,123,54,5,Delivered,380,2219.9,40164.72,29555.83,2
83,798,468,67,25,110,34,24,Delayed,73,4473.77,2168.06,20895.64,1
84,658,182,103,31,165,63,33,Delivered,54,4358.48,1774.39,24874.36,4
85,882,267,125,106,168,31,48,In Transit,190,125.14,15086.92,27800.22,5
86,733,492,117,2,17,64,23,Delivered,134,2567.76,34648.76,8577.68,2
87,423,281,251,59,148,96,14,Delivered,404,371.46,15629.6,12404.38,0
88,572,443,226,89,132,50,34,Delivered,392,186.58,31646.07,17023.88,2
89,171,472,188,31,162,28,4,Delivered,146,1060.11,14670.5,45924.92,2
90,173,450,187,68,95,37,1,Delivered,124,4828.13,2017.53,34556.45,5
91,663,155,76,68,162,96,2,In Transit,86,4654.74,36503.33,2380.58,3
92,453,83,273,116,67,32,29,In Transit,314,3567.74,27393.35,77518.33,5
93,350,186,149,12,28,81,9,In Transit,183,1546.76,32389.69,30344.29,2
94,494,349,195,17,105,98,28,In Transit,466,1060.9,9275.64,36959.62,3
95,620,485,284,85,116,35,33,Delivered,277,860.93,31063.77,18809.9,4
96,1028,139,44,29,164,57,23,In Transit,276,111.93,40550.31,31634.38,3
97,919,55,170,86,163,61,20,Delivered,193,2204.6,7449.26,33227.01,5
98,6,19,94,36,169,85,31,Delivered,158,3033.32,14509.3,32362.65,2
99,288,348,224,104,59,32,48,Delivered,150,2973.35,39691.19,6536.82,2
100,608,423,278,80,74,98,46,Delivered,265,3509.26,32366.79,69656.67,3
101,457,469,38,63,145,98,45,Delivered,309,2555.71,9817.26,3012.16,1
102,1030,346,270,15,30,8,26,In Transit,93,2670.78,13957.66,53367.9,5
103,624,470,235,30,182,80,31,Delayed,338,4797.14,45309.16,15720.76,2
104,376,454,111,110,52,35,32,In Transit,232,2824.86,19202.94,76918.59,5
105,447,267,168,51,200,23,47,Delayed,220,4370.0,5097.83,22934.77,3
106,835,142,54,11,151,86,50,Delivered,329,626.96,33334.98,26529.41,1
107,811,316,127,57,19,95,35,Delivered,262,4132.39,20378.65,43841.41,4
108,959,164,275,13,37,93,15,Delivered,384,3443.92,36704.77,46641.99,2
